"","edge","V1","V2","edge_mean","edge_low95","edge_high95","edge_prop","int_mean","int_low95","int_high95","int_prop"
"1","IB_S_Neg - IB_N_Neg",4,5,0.468088089696759,0.404341272721556,0.530571798797488,1,-0.00627655211209785,-0.0327955212629595,0,0.2
"2","IB_S_Pos - IB_N_Pos",2,3,0.30222836013634,0.217447366088371,0.360055164197383,1,0.0319599458975676,0,0.101984648654549,0.68
"3","IB_S_Neg - MB_Neg",4,7,0.24919975712008,0.175576303419046,0.31610380266763,1,-0.0607302095519381,-0.173585899528815,0,0.86
"4","MH - MB_Pos",1,6,0.236291505383032,0.162549789430227,0.308823721290383,1,0,0,0,0
"5","IB_S_Pos - IB_N_Neg",2,5,0.194378597364653,0.123809432566879,0.254350312002631,1,-0.00525625298146374,-0.0431218778115655,0,0.24
"6","MH - IB_S_Pos",1,2,0.147938777599001,0.0920183602822371,0.21943403866271,1,0,0,0,0
"7","MH - IB_N_Pos",1,3,0.140336332284427,0.0890396199028253,0.194386141088774,1,0,0,0,0
"8","IB_S_Pos - MB_Pos",2,6,0.111094463991679,0.0110971470552992,0.179452308727698,0.94,-0.0526369105359685,-0.110213277264638,0,0.8
"9","IB_N_Pos - IB_S_Neg",3,4,0.0631723410370613,0,0.16541217163371,0.72,-0.0424777176303647,-0.1278349207679,0,0.68
"10","IB_N_Neg - MB_Neg",5,7,0.0169307778048944,0,0.102957470772169,0.28,0.0412716716670018,0,0.136051492675779,0.54
"11","IB_N_Pos - MB_Pos",3,6,0.0167426128279099,0,0.0841627282574508,0.28,-0.00952427339369138,-0.0587313240954651,0,0.32
"12","MH - IB_N_Neg",1,5,-0.00202804295569608,-0.0364585186877436,0.0130196498410212,0.18,0,0,0,0
"13","MH - IB_S_Neg",1,4,-0.0024375330945605,-0.0286348053952454,0.016550680686959,0.14,0,0,0,0
"14","IB_N_Neg - MB_Pos",5,6,-0.0260816062914713,-0.0964624300743186,0,0.5,0.00539247904476939,-0.00704750700766388,0.0514766531490149,0.24
"15","IB_S_Pos - MB_Neg",2,7,-0.0281276071261696,-0.0999281646997708,0,0.46,0.0366387802994546,0,0.106011867629799,0.78
"16","MB_Pos - MB_Neg",6,7,-0.0318626864094898,-0.0987424979551248,0,0.46,0.0355353099075799,0,0.085315450287784,0.7
"17","IB_S_Neg - MB_Pos",4,6,-0.0414501646993351,-0.107452845364394,0,0.7,-0.0151895215998168,-0.0780875986872278,0.0115111298862002,0.36
"18","IB_N_Pos - MB_Neg",3,7,-0.0686897984125396,-0.134181349214067,0,0.8,0.0491245283231668,0,0.115509240487675,0.76
"19","IB_N_Pos - IB_N_Neg",3,5,-0.170474349276786,-0.247786069626464,-0.0991902050542814,1,0.0271093340339559,0,0.0807742032212445,0.62
"20","IB_S_Pos - IB_S_Neg",2,4,-0.191654146530601,-0.259649660953121,-0.117610764445986,1,0.0105530408344476,-0.0232140256599809,0.0700153162429933,0.42
"21","MH - MB_Neg",1,7,-0.232050826087531,-0.291812717136639,-0.165190002740129,1,0,0,0,0
